,Man,Modules,Running Status,Module Comment,old
1239,Comchip Technology,Comchip Technology_CrossReference,Run by request,------,
1240,Comchip Technology,Comchip Technology_Links,Run by request,------,
1241,COSEL,COSEL_Reliability,Run by request,------,
1242,"CRU Data Security Group, LLC",CRU Acquisitions Group,Run by request,------,
1243,Crydom,Crydom_CrossReference,Run by request,------,
1244,CUI Inc,CUI,Run By Request,,
1245,CUI Devices,CUI Devices,Run By Request,,Run By Request
1246,Curtis Industries,Curtis Industries,Run by request,------,
1247,Defense Logistics Agency,Defense Logistics Agency_Doc,Run By Request,Eng Hamed,
1248,Defense Logistics Information Service,Defense Logistics Information Service_Code,Run By Request,Eng Hamed,
1249,Defense Logistics Information Service,Defense Logistics Information Service_Name,Run By Request,Eng Hamed,
1250,Defense Logistics Information Service,Defense Logistics Information Service_SupplierName,Run By Request,Eng Hamed,
1251,Defense Supply Center Columbus,Defense Supply Center Columbus_EIC,Run by request,------,
1252,Defense Supply Center Columbus,Defense Supply Center Columbus_NSN,Run by request,------,
1253,Defense Supply Center Columbus,Defense Supply Center Columbus_QPD,Run by request,------,
1254,Dialight,Dialight,Run by request,------,
1255,Diodes Incorporated,Diodes Incorporated_CrossReference,Run by request,------,
1256,EDAC,EDAC_CrossReference,Run by request,------,
1257,ESCO Company Ltd,ESCO Company Ltd,Run by request,------,
1258,E-Switch,E-Switch_CrossReference,Run by request,------,
1259,GeneSiC Semiconductor,GeneSiC Semiconductor,Run by request,Run by request_links,
1260,Glenair,Glenair_CrossReference,Run by request,------,
1261,Grayhill,Grayhill,Run by request,------,
1262,GSI Technology,GSI Technology_CrossReference,Run by request,------,
1263,Harwin,Harwin_CrossReference,Run by request,------,
1264,Hewlett Packard Enterprise,Hewlett Packard Enterprise_Codes,Run by request,------,
1265,Hoffmann GmbH,Hoffmann GmbH,Run By Request,,Run By Request
1266,"IVF, Inc",Industrial Valves & Fittings,Run by request,------,
1267,Integrated Silicon Solution Inc,Integrated Silicon Solution Inc_Cross Reference,Run by request,------,
1268,INTERLIGHT,INTERLIGHT,Run by request,,
1269,IXYS,IXYS_CrossReference,Run by request,------,
1270,"Johanson Technology, Inc",Johanson Technology_Inc_Codes,Run By Request,------,
1271,Juniper Networks,Juniper Networks_Codes,Run By Request,------,
1272,KEMET Corporation,KEMET Corporation,Run By Request,,
1273,KEMET Corporation,KEMET Corporation_2,Run by request,Bad Response,
1274,"Kingbright Company, LLC",Kingbright_2,Run By Request,Proxy Issue,
1275,Klein Tools,Klein Tools_Links,Run by request,------,
1276,KOA Speer Electronics,KOA Speer Electronics_CrossReference,Run by request,------,
1277,KODENSHI AUK,KODENSHI AUK_Links,Run by request,------,
1278,KYOCERA AVX Components Corporation,KYOCERA AVX Components Corporation_2,Run by request,------,
1279,LEDVANCE GmbH,LEDVANCE GmbH,Run by request,------,
1280,Littelfuse,Littelfuse_Links,Run by request,------,
1281,Littelfuse,littelfuse_Scrub_Inv,Run by request,------,
1282,Littelfuse,Littelfuse_Series,pending data team,Site Update need new simulation,Run by request
1283,Marvell Semiconductor,Marvell Semiconductor_Codes,Run by request,------,
1284,Micro Commercial Components,Micro Commercial Components_CrossReference,Run by request,------,
1285,Micro Commercial Components,Micro Commercial Components_LC,Run by request,-----,
1286,Microchip Technology,Microchip Technology_ECCN,Run by request,Form Issue/Proxy issue,
1287,Microchip Technology,Microchip Technology_LC,Run by request,some of parts error  although the data found in offline,
1288,Microchip Technology,Microchip Technology_Qualification,Run by request,------,
1289,Mini-Circuits,Mini-Circuits_LINKS,Run by request,------,
1290,Molex,Molex_DS,Run by request,Blocking/some parts are error although data in offline,
1291,Multicomp Pro,Multicomp Company,Stopped,------,Run by request
1292,Multicomp Pro,Multicomp Company_uk,Stopped,Proxy Issue,Run by request
1293,Murata Manufacturing,Murata Manufacturing_CoC,Run by request,------,
1294,Nexperia,Nexperia,Run by request,------,
1295,Nexperia,Nexperia_Chemical,Run by request,------,
1296,"Nippon Chemical Screw & Co., Ltd",NIPPON CHEMICAL SCREW,Run by request,------,
1297,NMB Technologies Corporation,NMB Technologies Corporation_CrossReference,Run by request,------,
1298,NXP Semiconductors,NXP Semiconductors,Run by request,------,
1299,Ohmite Mfg Co,Ohmite_CrossReference,Run by request,------,
1300,Omron,Omron_industerial,Run by request,,
1301,Omron,Omron_Parametric,Run by request,------,
1302,onsemi,ON Semiconductor_AEC,Run By Request,------,
1303,onsemi,ON Semiconductor_China RoHS,Run By Request,------,
1304,onsemi,ON Semiconductor_Reliability Data,Run By request,------,
1305,Ondrives.US Corp,Ondrives.US Corp,Run by request,------,
1306,Oriental Motor,Oriental Motor_Link,Run by request,------,
1307,Panasonic,Panasonic_CrossReference,Run by request,------,
1308,Panasonic,Panasonic_OBS_Links,Run by request,------,
1309,PHOENIX CONTACT,PHOENIX CONTACT_LC,Run by request,,
1310,PRECI-DIP SA,PRECI-DIP SA_CrossReference,Run by request,------,
1311,Pro-Power,Pro-Power Company,Stopped,Proxy Issue,Run by request
1312,Pro-Signal,Pro-Signal Company,Stopped,------,Run by request
1313,Pulse Electronics,Pulse Electronics Corporation_CrossReference,Run by request,-----,Run by request
1314,"Qorvo, Inc",Qorvo_Inc_2,Run By Request,DA-535,
1315,Radiall,Radiall_CrossReference_Connector&Microwave,Run by request,------,
1316,Radiall,Radiall_CrossReference_MultipinConnectors,Run by request,------,
1317,RCD Components,RCD Components_CrossReference,Run by request,------,
1318,RECOM Power GmbH,Recom International Power GmbH,Run by request,------,
1319,Rhombus Industries,Rhombus Industries_CrossReference,Run by request,------,
1320,Rockwell Automation,Rockwell Automation,Run by request,------,
1321,"Sanken Electric Co., Ltd",Sanken Electric,Run By Request,------,
1322,"Sanken Electric Co., Ltd",Sanken Electric_2,Run by request,------,
1323,Sealcon,Sealcon_Links,Run by request,------,
1324,Siemens,Siemens_LC,Run by request,Waiting Time,
1325,Siemens,Siemens_US,Run by request,DA-535,
1326,Silicon Labs,Silicon Labs_CrossReference,Run by request,------,
1327,SiTime,SiTime,Run by request,,
1328,Skyworks Solutions,Skyworks Solutions_Tool,Run by request,------,
1329,Small Business Administration,Small Business Administration_Names,Run By Request,Eng Hamed,
1330,SMC Corporation,SMC Corporation_2,Run By Request,------,
1331,"Stackpole Electronics, Inc",Stackpole Electronics,Run by request,------,
1332,SUMIDA CORPORATION,Sumida_CrossReference,Run by request,------,
1333,Swagelok Company,Swagelok Company_LC,Run by request,,
1334,Taiwan Semiconductor,Taiwan Semiconductor,Run by request,------,
1335,Taiwan Semiconductor,Taiwan Semiconductor_Qualification,Run by request,,
1336,TDK-Lambda,TDK-Lambda Americas_LC,Run by request,Run by request_links,
1337,TE Connectivity,TE Connectivity Ltd_Service,Run by request,------,
1338,"Tektronix, Inc",Tektronix,Run by request,,
1339,TPA Motion,The Precision Alliance,Run by request,------,
1340,Transfer Multisort Elektronik Sp. z o.o.,Transfer Multisort Elektronik Sp. z o.o,Run by request,,
1341,Trimble Inc,TRIMBLE NAVIGATION LIMITED,Run by request,------,
1342,Trusco Nakayama Corporation,Trusco Nakayama Corporation,Run by request,------,
1343,TT electronics,TT electronics_LC,Run by request,------,
1344,VersaLogic Corporation,VersaLogic Corporation,Run by request,------,
1345,Vishay,Vishay_Cross Reference,Run by request,------,
1346,Vishay,Vishay_Inv,Run By Request,------,
1347,WM Berg,W.M. Berg_mech,Run by request,------,
1348,Walsin Technology,Walsin Technology_Pemco_Links,Run by request,------,
1349,WeEn Semiconductors,WeEn Semiconductors_CrossReference,Run by request,------,
1350,WIN Enterprises,WIN Enterprises,Run by request,------,
1351,Winbond Electronics,Winbond Electronics_Qualification,Regular Running,,Regular Running
1352,Winbond Electronics,Winbond Electronics_Links2,Run by request,Run by request_links,
1353,Delta Electronics,Delta Electronics_2,Run By Request,,
1354,Seagate Technology,Seagate Technology,Run by request,,
1355,Infineon Technologies AG,Infineon Technologies AG,Run by request,Covered by direct feed,
1356,Winbond Electronics,Winbond Electronics_Links,Run by request,,
1357,"Shin-Etsu Chemical Co., Ltd",Shin-Etsu_Links,Run by request,,
1358,VIA Technologies,VIA Technologies_Family,Run by request,,
1359,Festo AG & Co. KG,Festo SE & Co_KG_Links,Run by request,,
1360,"Shindengen Electric Manufacturing Co., Ltd",Shindengen Electric Manufacturing,Run by request,,
1361,Eaton,Eaton_3,Run By Request,,
1362,Coilcraft,Coilcraft_CPS,Run By Request,,
1363,Renesas Electronics,Renesas Electronics,Run by request,,
1364,Microchip Technology,Microchip Technology_ROHS,Run By Request,,
1365,Hager Group,Hager Group_2,Run By Request,,
1366,Samsung Electro-Mechanics,Samsung Electro-Mechanics,Run by request,,
1367,Cembre S.p.A.,zoominfo,Schedual Running,,
1368,Cirrus Logic,Cirrus Logic,Schedual Running,,
1369,GardTec,CSIMarket2,Schedual Running,,
1370,Defense Logistics Agency,Defense Logistics Agency_Qualification,Schedual Running,Eng Hamed,
1371,Defense Supply Center Columbus,Defense Supply Center Columbus_Links,Schedual Running,,
1372,Diodes Incorporated,Diodes Inc_Rohs,Schedual Running,,
1373,"Dynawave, Inc","Dynawave, Inc",Schedual Running,------,
1374,FASTRON GmbH,FASTRON GmbH_Links,Schedual Running,,
1375,Hirose Electric,Hirose Electric_OffLinks,Schedual Running,,
1376,KOA Speer Electronics,KOA Speer Electronics,Schedual Running,------,
1377,Mean Well Enterprises,Mean Well Enterprises_Qual,Schedual Running,,
1378,Mitsubishi Electric,Mitsubishi Electric,Schedual Running,------,
1379,"Morethanall Co., Ltd",Morethanall,Schedual Running,,
1380,Omron,Omron_Design Support,Schedual Running,,
1381,Omron,Omron_Design Support_Links,Schedual Running,,
1382,"P-Duke Technology Co., Ltd",P-Duke,Schedual Running,,
1383,RichWave Technology Corp,RichWave Technology Corp,Schedual Running,------,
1384,Siemens,Siemens_Links,Schedual Running,,
1385,Silicon Labs,Silicon Laboratories_Env,Schedual Running,,
1386,Small Business Administration,Small Business Administration_Links,Schedual Running,Eng Hamed,
1387,TT Electronics,TT electronics_Series,Schedual Running,,
1388,Tyan Computer,Tyan Computer,Schedual Running,------,
1389,Vishay,Vishay_Active,Schedual Running,,
1390,Vishay,Vishay_LC,Schedual Running,------,
1391,Vitec Electronics Corporation,Vitec Electronics,Schedual Running,------,
1392,Won-Top Electronics,Won-Top Electronics,Schedual Running,------,
1393,Zilog,Zilog,Schedual Running,Covered By Another Source (DDF/Tool),
1394,LASCO Fittings,LASCO Fittings,Stopped,Fully Aquired,Regular Running
1395,Alfa Aesar,Alfa Aesar,Stopped,Fully Aquired,Regular Running
1396,Boundary Devices,Boundary Devices,Stopped,Fully Aquired,Regular Running
1397,"Coherent, Inc",Coherent,Stopped,Fully Aquired,Regular Running
1398,Concord Electronics,Concord Electronics,Stopped,Fully Aquired,Regular Running
1399,DEM Manufacturing,DEM_Manufacturing,Stopped,Fully Aquired,Regular Running
1400,Fath Inc,Fath Inc,Stopped,Fully Aquired,Regular Running
1401,ORION FANS,ORION FANS,Stopped,Fully Aquired,Regular Running
1402,VAHLE Corporation,VAHLE Corporation,Stopped,Fully Aquired,Regular Running
1403,Chilisin,Chilisin Electronics,Stopped,Fully Aquired,Run by request
1404,HumiSeal,HumiSeal,Stopped,Fully Aquired,SW Issue
1405,Comset Semiconductors,Comset Semiconductors,Stopped,Captcha,Regular Running
1406,Rosenberger Hochfrequenztechnik GmbH & Co. KG,Rosenberger Hochfrequenztechnik GmbH & Co. KG_RoHS,Stopped,Covered by regular running module,Run by request
1407,"ICE Components, Inc",ICE Components,Stopped,search not working ,Regular Running
1408,3PEAK,3PEAK,Stopped,Based LC approved as most of the parts are not found ,
1409,"ASI Semiconductor, Inc",Advanced Semiconductor,Stopped,the site is still down and the supplier has No status.,Regular Running
1410,Shanghai Fudan Microelectronics Co. Ltd,Shanghai Fudan Microelectronics Co. Ltd,Stopped,Based LC approved as most of the parts are not found ,
1411,"TAKACHI Electronics Enclosure Co., Ltd",TAKACHI Electronics Enclosure Co_Ltd,Stopped,Based LC approved as most of the parts are not found ,Regular Running
1412,dresden elektronik ingenieurtechnik gmbh,dresden elektronik ingenieurtechnik gmbh,Stopped,Most of parts are not found,
1413,"Okaya Electric Industries Co., Ltd",Okaya Electric Industries Co_Ltd,Stopped,Search not work,Regular Running
1414,SL Power Electronics,SL Power Electronics,Stopped,Filly acquired,
1415,Skyworks Solutions,Skyworks Solutions_Store,Stopped,site is closed,Run By Request
1416,Macronix International,Macronix International_Links,Stopped,adding new module run by part,
1417,"Current Lighting Solutions, LLC",GE Current,Stopped,Based LC approved,Regular Running
1418,Energizer Holdings,Energizer Holdings,Stopped,Based LC approved,Regular Running
1419,Tri-M Systems and Engineering,Tri-M Systems and Engineering,stopped,Based LC approved,Regular Running
1420,Linx Technologies,Linx Technologies,Stopped,Fully Aquired,
1421,NPS Holdings LLC.,NPS Corp,Stopped,No New Simulation,
1422,Numato Systems Pvt Ltd,Numato Systems_LLC,Stopped,"Useless,Approved by LC tam",
1423,"Hainan ZTO Cable Co.,Ltd",Promptus Electronic Hardware,Stopped,Site Issue,
1424,Schlemmer Group,"Schlemmer Automotive Parts Co.,Ltd",Stopped,Useless,
1425,TPC Wire & Cable,TPC Wire & Cable Corp,Stopped,Useless,
1426,"Unico, LLC",Unico Incorporated,Stopped,"Useless,Approved by LC tam",
1427,USA Industrials,USA Sealing,Stopped,Based LC approved,Regular Running
1428,ABB,ABB_RoHS,Stopped,"Site Updated, Wait New Simulation",
1429,Acer,Acer,Stopped,Useless,
1430,"Adesto Technologies Corporation, Inc","Adesto Technologies Corporation, Inc",Stopped,Fully Aquired,
1431,Adimpex S.r.l,Adimpex S.r.l,Stopped,No New Simulation,
1432,Advanced Power Electronics,Advanced Power Electronics,Stopped,Data Team Ask To Stop,
1433,Advanced Thermal Solutions,Advanced Thermal Solutions_RoHS,Stopped,Useless,
1434,Aearo Technologies LLC,Aearo Technologies LLC,Stopped,No New Simulation,Regular Running
1435,"CD Aero, LLC",Aerovox,Stopped,No New Simulation,
1436,Aircraft Fasteners International,Aircraft Fasteners International,Stopped,"Useless,Approved by LC tam",
1437,"Airgas, Inc",Airgas_Inc,Stopped,"Useless,Approved by LC tam",
1438,Akyga Europe Sp. z o.o.,Akyga Europe Sp. z o.o.,Stopped,"Useless,Approved by LC tam",
1439,Arconic,Alcoa,Stopped,No New Simulation,
1440,Tronser GmbH,Alfred Tronser GmbH,Stopped,No New Simulation,
1441,Aliner Industries,Aliner Industries,Stopped,Useless,
1442,Allekabels B.V.,Allekabels B.V.,Stopped,"Useless,Approved by LC tam",
1443,"Allied Titanium, Inc",Allied Titanium_Inc,Stopped,"Useless,Approved by LC tam",
1444,Altech Corporation,Altech,Stopped,Based LC approved,Run by request
1445,Amatom Electronic Hardware,Amatom Electronic Hardware,Stopped,Based LC approved,
1446,American Ring,American Ring & Tool Company,Stopped,No New Simulation,
1447,AMETEK Programmable Power,AMETEK Programmable Power,Stopped,Useless,
1448,Amphenol Advanced Sensors,Amphenol Advanced Sensors,Stopped,Site Issue,
1449,Amphenol RF,Amphenol RF,Stopped,Covered By Another Source (DDF/Tool),
1450,Amphenol,Amphenol_Aerospace_Scrub_Inv,Stopped,Covered By Another Source (DDF/Tool),
1451,Amphenol,Amphenol_Industerial,Stopped,Fully Aquired,
1452,Amphenol,Amphenol_Replacement,Stopped,No New Simulation,
1453,Amphenol,Amphenol_Sinco,Stopped,No New Simulation,
1454,Amphenol,amphenolinfocom_Scrub,Stopped,No New Simulation,
1455,Amprobe,Amprobe,Stopped,Fully Aquired,
1456,"Amtek Technology Co., Ltd","Amtek Technology Co., Ltd",Stopped,"Most of parts are not found,LC approved",Regular Running
1457,"Anaren, Inc",Anaren Microwave,Stopped,No New Simulation,
1458,Antenova Ltd,Antenova Ltd,Stopped,Useless,
1459,Apex Material Technology Corporation,Apex Material Technology Corp,Stopped,Useless,
1460,API Delevan,API Delevan,Stopped,Based LC approved,
1461,Applied Industrial Technologies,Applied Industrial Technologies,Stopped,"Useless,Approved by LC tam",
1462,APS Advanced Printing Systems,APS Advanced Printing Systems,Stopped,No New Simulation,
1463,Artesyn Embedded Power,Artesyn Embedded Power,Stopped,Fully Aquired,
1464,ATEK Access Technologies,ATEK Access Technologies,Stopped,"Useless,Approved by LC tam",
1465,KYOCERA AVX Components Corporation,AVX,Stopped,have another module with the same link ,
1466,Azbil Corporation,azbil Group,Stopped,No New Simulation,
1467,B+B SmartWorx (Powered by ADVANTECH),B+B SmartWorx,Stopped,No New Simulation,
1468,Barker Microfarads,Barker Microfarads,Stopped,No New Simulation,
1469,Batronix GmbH & Co. KG,Batronix GmbH & Co. KG,Stopped,No New Simulation,
1470,Belden,Belden_LC,Stopped,Site Issue,
1471,Bender & Wirth GmbH & Co,Bender & Wirth GmbH & Co,Stopped,"Useless,Approved by LC tam",
1472,Berkshire Corporation,Berkshire Corporation,Stopped,No New Simulation,
1473,BISSELL,BISSELL,Stopped,No New Simulation,
1474,BittWare,BittWare,Stopped,Based LC approved,
1475,Blue Sky Research,Blue Sky Research,Stopped,"Useless,Approved by LC tam",
1476,Bright Led Electronics,Bright Led Electronics,Stopped,No New Simulation,
1477,Broadcom Inc,Broadcom Limited,Stopped,Covered by direct feed,
1478,Bulbtronics,Bulbtronics,Stopped,"Useless,Approved by LC tam",
1479,Busch-Jaeger Elektro GmbH,Busch-Jaeger Elektro GmbH,Stopped,Based LC approved,Regular Running
1480,C2G,C2G_Rohs,Stopped,Zero parts,
1481,"cableplus Industrial Co.,Ltd","cableplus Industrial Co.,Ltd",Stopped,No New Simulation,
1482,CABLEScience Inc,CABLEScience Inc,Stopped,"Useless,Approved by LC tam",
1483,Cal Test Electronics,Cal Test Electronics,Regular Running,,
1484,Cal-Chip Electronics,Cal-Chip Electronics,Stopped,"Site Updated, Wait New Simulation",
1485,Caleffi S.p.a.,Caleffi S.p.a.,Stopped,"Useless,Approved by LC tam",
1486,"Calex Manufacturing Co., Inc","Calex Manufacturing Co., Inc",Stopped,No New Simulation,
1487,California Eastern Laboratories,California Eastern Laboratories,Stopped,No New Simulation,
1488,California Power Systems,California Power Systems,Stopped,"Useless,Approved by LC tam",
1489,Carey Manufacturing,Carey Manufacturing,Stopped,Based LC approved,
1490,Carley Lamps,Carley Lamps,Stopped,"Useless,Approved by LC tam",
1491,Carlisle Interconnect Technologies,Carlisle Interconnect Technologies,Stopped,No New Simulation,
1492,CBI-electric Group,CBI-electric,Stopped,No New Simulation,
1493,Central Components Manufacturing,Central Components,Stopped,No New Simulation,
1494,"Chang Hong Technology Co., Ltd",Chang Hong Technology Co_Ltd,Stopped,"Useless,Approved by LC tam",
1495,"Changzhou Huawei Electronics Co., Ltd",Changzhou Huawei Electronics Co_Ltd,Stopped,Based LC approved,
1496,Charcroft Electronics Ltd,Charcroft Electronics Ltd,Stopped,No New Simulation,
1497,Cherry Americas,"Cherry Americas, LLC",Stopped,Site Issue,
1498,"Chroma Systems Solutions, Inc","Chroma Systems Solutions, Inc",Stopped,No New Simulation,
1499,Chromalox,Chromalox,Stopped,Based LC approved,
1500,Clampco Products,Clampco Products,Stopped,No New Simulation,
1501,Clarendon Specialty Fasteners Limited,Clarendon Specialty Fasteners Limited,Stopped,"Useless,Approved by LC tam",
1502,Coast Advanced Chip Magnetics,Coast Advanced Chip Magnetics,Stopped,No New Simulation,
1503,"Cofan USA, Inc",Cofan USA,Stopped,No New Simulation,
1504,Cognex,Cognex,Stopped,Site Issue,
1505,Congatec GmbH,Congatec AG,Stopped,No New Simulation,
1506,CoolJag,CoolJag USA,Stopped,No New Simulation,
1507,Cooner Wire Company,Cooner Wire,Stopped,Site Issue,
1508,"Core Components, Inc",Core Components_Inc,Stopped,"Useless,Approved by LC tam",
1509,Coretek Opto Corporation,Coretek Opto Corporation,Stopped,No New Simulation,
1510,Corning Incorporated,Corning Incorporated,Stopped,Site Issue,
1511,Cortron,Cortron,Stopped,No New Simulation,
1512,"Craftech Industries, Inc",Craftech Industries,Stopped,Based LC approved,
1513,Crane Aerospace & Electronics,Crane Aerospace & Electronics,Stopped,No New Simulation,
1514,Cree,Cree,Stopped,Fully Aquired,
1515,CRISTEK Interconnects,CRISTEK Interconnects,Stopped,Based LC approved,Run by request
1516,Crydom,Crydom,Stopped,Fully Aquired,
1517,Opto plus Technologies Co.,CS bright Corporation,Stopped,No New Simulation,
1518,Cypress Semiconductor,Cypress Semiconductor,Stopped,Fully Aquired,
1519,Datalogic,Datalogic,Stopped,No New Simulation,
1520,DataPro International,DataPro International,Stopped,Captcha,
1521,"DATEL, Inc",Datel,Stopped,Fully Aquired,
1522,Dayco Products,Dayco Products,Stopped,Useless,
1523,DB Roberts,DB Roberts,Stopped,Captcha,
1524,Del City,Del City,Stopped,"Useless,Approved by LC tam",
1525,Dell,Dell,Stopped,No New Simulation,
1526,Deltrol Controls,Deltrol_Corporation,Stopped,Based LC approved,
1527,Dialog Semiconductor,Dialog Semiconductor,Stopped,Fully Aquired,
1528,Digisound Group,Digisound Group,Stopped,Most of parts are not found so it is useless/LC approved,Regular Running
1529,"Dioo Microcircuits Co., Ltd. Jiangsu","Dioo Microcircuits Co,. LTD",Stopped,No New Simulation,
1530,DIOTECH,DIOTECH,Stopped,Based LC approved,Regular Running
1531,Dow-Key Microwave,Dow-Key Microwave,Stopped,No New Simulation,
1532,E. DOLD & Sohne KG,E. DOLD & Sohne KG,Stopped,Based LC approved,Regular Running
1533,Electronic Devices,Electronic Devices,Stopped,Based LC approved,
1534,EM-Technik GmbH,EM-Technik GmbH,Stopped,Site Issue,
1535,Endicott Research Group,Endicott Research Group,Stopped,No New Simulation,
1536,"ePromos Promotional Products, Inc","ePromos Promotional Products, Inc",Stopped,"Useless,Approved by LC tam",
1537,"Epson America, Inc",Epson Electronics America_Scrub_Inv,Stopped,Based LC approved,Run by request
1538,ERNI Electronics,ERNI Electronics,Stopped,Zero parts,
1539,ERNI Electronics,ERNI Electronics_Country,Stopped,Zero parts,
1540,E-T-A Circuit Breakers,E-T-A Circuit Breakers,Stopped,Useless,
1541,Eurohm Corporation,Eurohm Corporation,Stopped,Capitcha,
1542,Eurotech S.p.A.,Eurotech S.p.A.,Stopped,Useless,
1543,EverFine Group,EverFine Group,Stopped,"Useless,Approved by LC tam",
1544,"EVERLIGHT Electronics Co., Ltd",Everlight Electronics,Stopped,Useless,
1545,"EVERLIGHT Electronics Co., Ltd",Everlight Electronics_2,Stopped,Based LC approved(search does not work),Regular Running
1546,FADISEL,FADISEL,Stopped,Zero parts,
1547,Fagor Electronica,Fagor Electronica,Stopped,No New Simulation,
1548,"FAIRWAY ELECTRONIC CO., LTD","FAIRWAY ELECTRONIC CO., LTD",Stopped,No New Simulation,
1549,Amphenol Communications Solutions,FCI,Stopped,Covered by direct feed,
1550,Amphenol Communications Solutions,FCI_Links,Stopped,Covered by direct feed,
1551,Federal-Mogul Powertrain LLC,Federal-Mogul,Stopped,Based LC approved,
1552,Festo AG & Co. KG,Festo AG & Co. KG,Stopped,adding another module Festo AG & Co. KG_LC,
1553,"Foster Electric Company, Limited",Foster Electric Company_Limited,Stopped,Based LC approved,Regular Running
1554,Fox Electronics,Fox Electronics,Stopped,Fully Aquired,
1555,Foxconn,Foxconn,Stopped,No New Simulation,
1556,FRABA,FRABA,Stopped,No New Simulation,
1557,Fraen Corporation,Fraen Corporation,Stopped,No New Simulation,
1558,"Franklin Electric Co., Inc",Franklin Electric Co_Inc,Stopped,Based LC approved,Regular Running
1559,GEM Cable Solutions,GEM Cable Solutions,Stopped,Site Issue,
1560,"GEMSTONE ELECTRONIC PRODUCTS CO.,LTD",GEMSTONE ELECTRONIC PRODUCTS CO_LTD,Stopped,Useless,
1561,GHI Electronics LLC,GHI Electronics LLC_LC,Stopped,No New Simulation,
1562,GIGAVAC,GIGAVAC,Stopped,No New Simulation,
1563,Global Supply LLC,Global Supply LLC,Stopped,No New Simulation,
1564,Grayhill,Grayhill_LC,Stopped,Site Issue,
1565,Great Planes Model Manufacturing Company,Great Planes Model Manufacturing Company,Stopped,Fully Aquired,
1566,Grommets Limited,Grommets Limited,Stopped,"Useless,Approved by LC tam",
1567,HAHN+KOLB Werkzeuge GmbH,HAHN+KOLB,Stopped,"Useless,Approved by LC tam",
1568,HAM-LET GROUP,HAM-LET GROUP,Stopped,Fully Aquired,
1569,"Hanlong Industrial Co.,Ltd","Hanlong Industrial Co.,Ltd",Stopped,Useless,
1570,HELUKABEL,HELUKABEL,Stopped,Site Issue,
1571,HILGER & KERN GROUP,HILGER & KERN GROUP,Stopped,"Useless,Approved by LC tam",
1572,Hirschmann Automotive GmbH,Hirschmann Automotive GmbH,Stopped,No New Simulation,
1573,Holt Integrated Circuits,Holt Integrated Circuits,Stopped,Site Issue,
1574,Horner Automation Group,Horner Automation Group,Stopped,No New Simulation,
1575,HUADA connectors Inc,HUADA connectors Inc,Stopped,Based LC approved,
1576,HUBER+SUHNER,HUBER+SUHNER,Stopped,Covered by direct feed,
1577,Hugo Muller GmbH & Co. KG,Hugo Muller GmbH & Co. KG,Stopped,"Useless,Approved by LC tam",
1578,IET Labs,IET Labs,Stopped,"Useless,Approved by LC tam",
1579,Illinois Capacitor,Illinois Capacitor,Stopped,Fully Aquired,
1580,Indium Corporation,Indium Corporation,Stopped,Site Issue,
1581,INFICON,INFICON,Stopped,Useless,
1582,Infoblox,Infoblox,Stopped,Useless,
1583,INPAQ Technology,INPAQ Technology,Stopped,Useless,
1584,Inphi Corporation,Inphi Corporation,Stopped,Fully Aquired,
1585,Intel,Intel_BUY_ONLINE,Stopped,No New Simulation,
1586,Intematix Corporation,Intematix Corporation,Stopped,Useless,
1587,"Intrepid Control Systems, Inc",Intrepid Control Systems_Inc,Stopped,No New Simulation,
1588,iWave Systems,iWave Systems Technologies Pvt. Ltd,Stopped,No New Simulation,
1589,IXYS,IXYS,Stopped,Zero parts,
1590,Jameco Electronics,Jameco Electronics,Stopped,Site Issue,
1591,Jobarco,Jobarco,Stopped,Zero parts,
1592,"Johanson Technology, Inc",Johanson Technology_Inc,Stopped,Site Issue,
1593,Johnson Electric Holdings Limited,Johnson Electric Group,Stopped,Based LC approved,Regular Running
1594,Kaschke Components GmbH,Kaschke Components GmbH,Stopped,------,
1595,Keil Software,Keil Software,Stopped,Useless,
1596,Landsberg Orora,Kent H. Landsberg,Stopped,No New Simulation,
1597,Kingston Technology,Kingston Technology_R&D,Stopped,No New Simulation,
1598,KITZ SCT America Corporation,KITZ SCT America Corporation,Stopped,No New Simulation,
1599,Knight Global,Knight Global,Stopped,"Useless,Approved by LC tam",
1600,Knowles Precision Devices,Knowles Capacitors_Inv,Stopped,Covered By Another Source (DDF/Tool),
1601,KYOCERA Display,"KYOCERA Display America, Inc",Stopped,No New Simulation,
1602,Kyocera,Kyocera_Certificate,Stopped,Useless,
1603,"L3 Technologies, Inc",L3 Communications,Stopped,Fully Aquired,
1604,Lattice Semiconductor,Lattice Semiconductor,Stopped,Useless,
1605,LEDTECH ELECTRONICS,LEDTECH ELECTRONICS,Stopped,No New Simulation,
1606,Legrand,Legrand_ROHS,Stopped,No New Simulation,Run by request
1607,LEONI AG,LEONI AG,Stopped,Useless,
1608,Leuze electronic PTY LTD,Leuze electronic PTY LTD,Stopped,Fully Aquired,
1609,Lision Technology Inc,Lision Technology Inc,Stopped,Site Issue,
1610,Lite-On Semiconductor,Lite-On Semiconductor,Stopped,Fully Aquired,
1611,Lite-On Semiconductor,Lite-On Semiconductor_2,Stopped,Fully Aquired,
1612,Littelfuse,Littelfuse,Stopped,Covered By Another Source (DDF/Tool),
1613,LM Technologies,LM Technologies,Stopped,No New Simulation,
1614,Manhattan Products,Manhattan Products,Stopped,"Useless,Approved by LC tam",
